career_name,top_skills,avg_salary,salary_p25,salary_p75,salary_range,demand_score,locations,postings_count,skills_count
/,,318000.0,318000.0,318000.0,318000-318000,0.0,hyderabad telangana,0,0
100 remote business development manager - b2b sales commission-based with high earning potential,b2b sales negotiation communication client engagement self-motivated team player initiative adaptability problem solving procurement solutions,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
2024 finance summer internship,financial analysis accounting finance reporting systems analytical support expense control reporting attention to detail problem solving tenacity ability to work under pressure communication teamwork invoice processing vendor management curiosity,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
2024 summer - information technology it internship - st petersburg fl,software applications data management information security business analysis project management communication teamwork customer service organization problem solving adaptability office equipment operation,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
2024 summer audit information technology intern detroit mi,database software audit program tests internal controls financial audits operational audits information technology audits word processing spreadsheet software project coordination oral communication written communication interpersonal communication organization skills prioritization active listening relationship building diplomacy tact,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
3d computer vision researcher,,450109.0,450109.0,450109.0,450109-450109,0.0,in,0,0
3d modeling artist,,240000.0,240000.0,240000.0,240000-240000,0.0,kazhakoottam thiruvananthapuram kerala,0,0
a/p contract analyst - information technology,ms excel budgeting research skills data analysis communication interpersonal skills prioritization problem solving teamwork adaptability oracle google workspace contract management purchase order processing accounts payable documentation management customer service,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
academic advisor - female,,276000.0,276000.0,276000.0,276000-276000,0.0,kochi kerala,0,0
academic advisor work from home,,222000.0,222000.0,222000.0,222000-222000,0.0,perumbavoor kerala,0,0
academic consultant,,192000.0,192000.0,192000.0,192000-192000,0.0,kochi kerala,0,0
accademic counsellor,,192000.0,192000.0,192000.0,192000-192000,0.0,thrissur kerala,0,0
accessories incharge,,192000.0,192000.0,192000.0,192000-192000,0.0,alleppey kerala,0,0
account director - leisure sales miami or new york,"mexico attention to detail stress management judgment,sales strategies client relationship management business development communication problem solving multi-tasking initiative professionalism interpersonal skills negotiation microsoft office presentation skills leisure sales experience bilingual spanish market analysis industry knowledge caribbean",223500.0,223500.0,223500.0,0-0,0.0543,,1,2
account executive,,432000.0,432000.0,432000.0,432000-432000,0.0,muvattupuzha kerala,0,0
account executive finance cloud,revenue forecasting analytical skills quantitative skills communication collaboration adaptability problem solving sales methodologies prospecting negotiating closing product demonstrations consultative sales customer feedback incorporation,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
account executive new business development heor market access,sales performance tracking presentation skills communication collaboration organization problem solving client relationship management teamwork adaptability heor rwe market access salesforce ms365 crm platforms data analytics lead generation research services prioritization,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
accountant,,162000.0,162000.0,162000.0,162000-162000,0.0,devanhalli karnataka,0,0
accountant tally,,270000.0,270000.0,270000.0,270000-270000,0.0,mysuru karnataka,0,0
accountant trainee,,225000.0,202500.0,247500.0,202500-247500,0.0,"kochi kerala,thrissur kerala",0,0
accounting and finance consulting manager fund services plus location flexible,financial reporting private equity microsoft office suite analytical skills graduate degree compliance communication teamwork problem solving work ethic organizational skills influencing skills adaptability client service orientation fund accounting fund accounting software allvue cpa limited partnership agreements cash management quality control audit coordination carried interest calculations onboarding processes positive attitude,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
accounting and finance intern,accounting finance financial reporting data analysis reconciliation forecasting communication teamwork adaptability problem solving initiative collaboration microsoft office suite netsuite oracle fusion bill com,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
accounting faculty,,138000.0,138000.0,138000.0,138000-138000,0.0,tiruvalla kerala,0,0
accounting finance recruiting associate,accounting finance negotiation customer service data management communication interpersonal skills motivation detail-oriented teamwork recruitment job sourcing candidate screening networking,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
accounts and hr executive female only,,144000.0,144000.0,144000.0,144000-144000,0.0,santacruz west mumbai maharashtra,0,0
accounts assistant,,174000.0,171000.0,180000.0,171000-180000,0.0,"borivali east mumbai maharashtra,kollam kerala,pollachi tamil nadu",0,0
adjunct faculty information technology software design and programming,software design programming project management information analysis communication critical thinking organizational skills teamwork adaptability commitment to diversity engagement feedback provision independent work java python net programming object-oriented programming web enabled information systems ios application development android application development learning management system lms ed-tech tools inclusive teaching,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
admin,,240000.0,240000.0,240000.0,240000-240000,0.0,mysuru karnataka,0,0
administration/office manager,,240000.0,240000.0,240000.0,240000-240000,0.0,thrissur kerala,0,0
administrative assistant - human resources,computer skills administrative support data entry problem-solving critical thinking multi-tasking communication teamwork organization customer service confidentiality microsoft suite,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
admission counselor/ telecaler executive,,180000.0,180000.0,180000.0,180000-180000,0.0,chandigarh chandigarh,0,0
adonis manufacturing pvt ltd freshers hiring permanent,,210000.0,210000.0,210000.0,210000-210000,0.0,sriperumpudur chennai tamil nadu,0,0
aesthetic surgeon,,570000.0,570000.0,570000.0,570000-570000,0.0,"t nagar chennai tamil nadu,visakhapatnam andhra pradesh",0,0
aftermarket sales rep,communication interpersonal skills organizational skills problem solving time management customer engagement follow-up skills salesforce sales strategies product demonstrations quotations preparation territory management business-to-business sales customer relationship management computer skills,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
air conditioning technician,,600000.0,600000.0,600000.0,600000-600000,0.0,ambawadi ahmedabad gujarat,0,0
alt-text writer - general,,270000.0,270000.0,270000.0,270000-270000,0.0,remote,0,0
amazon advertising executive,,189000.0,189000.0,189000.0,189000-189000,0.0,thrissur kerala,0,0
analyst - information technology,hardware inventory management organizational skills decision making communication teamwork problem solving machine learning statistical modeling data visualization mainframe operating systems storage hardware network hardware pc hardware server operating systems network services software installation system upgrades workstation setup server configuration software inventory management analytical skills adaptability to new technology,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
analyst finance change management,project management financial analysis data management microsoft excel microsoft powerpoint microsoft word communication relationship management teamwork proactive self-starter prioritization collaboration presentation skills,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
analyst/senior analyst division finance,sap forecasting techniques variance analysis microsoft office software data analysis adaptability teamwork ownership influence change prioritization communication project management advanced excel modeling hyperion discounted cash flow analysis,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
anchor,,240000.0,240000.0,240000.0,240000-240000,0.0,kochi kerala,0,0
answerclub knowledge contributor,,37200.0,37200.0,37200.0,37200-37200,0.0,remote,0,0
aoc human resources project manager,project management human resources administration performance management recruitment interviewing techniques records management employment law classification and compensation employee relations mediation conflict resolution audit procedures training techniques investigative procedures communication teamwork problem solving organizational skills analytical skills leadership interpersonal skills adaptability attention to detail time management statistical data collection budget processes,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
apparel sales outfitter-1,customer service merchandising product knowledge point of sale system mathematical calculations inventory management communication teamwork problem solving relationship building adaptability attention to detail,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
application analyst i day shift information technology,troubleshooting ticketing system application support system testing change management computer science information technology enhancement requests communication teamwork problem solving customer service adaptability documentation service level agreements,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
application developer,,226440.0,226440.0,226440.0,226440-226440,0.0,perungudi chennai tamil nadu,0,0
applied data scientist,,4513208.0,4513208.0,4513208.0,4513208-4513208,0.0,ca,0,0
applied machine learning scientist,,35109000.0,35109000.0,35109000.0,35109000-35109000,0.0,us,0,0
ar caller trainee,,600000.0,600000.0,600000.0,600000-600000,0.0,coimbatore tamil nadu,0,0
architect,,318000.0,318000.0,318000.0,318000-318000,0.0,ahmedabad gujarat,0,0
architectural draftsperson,,198000.0,198000.0,198000.0,198000-198000,0.0,nikol ahmedabad gujarat,0,0
area director business development,business development account management sales market analysis customer relationship management microsoft office healthcare sales presentation skills communication problem solving teamwork organizational skills time management flexibility leadership discretion judgment mentoring budget management data analysis,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
area finance manager,financial management budgeting data analysis financial reporting accounting forecasting project management communication problem solving analytical skills organizational skills relationship building teamwork entrepreneurial spirit compliance,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
area sales manager,sales communication relationship building problem solving teamwork customer engagement crm sales tools business development product training sales reporting capital equipment sales market knowledge pipeline management travel management adaptability strategic planning negotiation,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
area sales manager - south,sales management data analysis marketing customer relationship management technical product knowledge communication self-motivation organization team collaboration problem-solving creativity relationship development flexibility curiosity commitment to excellence territory management presentation skills valid driver s license extensive travel experience in distribution or manufacturing,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
area sales manager chattanooga market,sales customer service credit management communication teamwork problem solving time management customer satisfaction adaptability relationship building account management market analysis pricing strategy product knowledge territory management delivery logistics sales presentations,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
art gallery sales marketing associate,sales marketing event management communication interpersonal skills organization multitasking detail-oriented charisma flexibility social media management mailchimp canva adobe creative suite art selling techniques website management shipping and operations writing passion for contemporary art,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
artificial intelligence developer/intern,,540000.0,540000.0,540000.0,540000-540000,0.0,belgachia kolkata west bengal,0,0
artificial intelligence scientist,,2373766.8,996000.0,3809368.0,996000-3809368,0.0,"as,dk,es,us",0,0
assembly line operator,,168000.0,168000.0,168000.0,168000-168000,0.0,chennai tamil nadu,0,0
assembly technician cum winding technician,,162000.0,162000.0,162000.0,162000-162000,0.0,karur tamil nadu,0,0
assisstant resource manager construction projects,,216000.0,216000.0,216000.0,216000-216000,0.0,bengaluru karnataka,0,0
assistant director of finance-kimpton george hotel,accounting finance management microsoft office suite excel budget preparation financial reporting cost efficiency analysis tax management communication organization detail-oriented leadership problem solving teamwork adaptability peoplesoft bank reconciliations inventory record keeping,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
assistant director of information technology,"3 system configuration third party timekeeping systems performance evaluation professional growth development,payroll modules configuration project management business process analysis payroll tax reporting multistate taxation bsi tax software testing upgrades data modeling integration with adp query development r,team leadership communication problem solving collaboration resource allocation planning adaptability meeting facilitation sap payroll api timekeeping hr",223500.0,223500.0,223500.0,0-0,0.0793,,1,3
assistant finance director,accounting finance budget preparation financial reporting supervisory skills revenue collection accounts payable payroll functions planning organizing management communication problem solving teamwork customer service utility billing fixed assets management public administration government financial officer certification,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
assistant professor,,360000.0,360000.0,360000.0,360000-360000,0.0,champa chhattisgarh,0,0
assistant professor of finance,ph d in finance cfa charter college level teaching experience research in finance advising students curriculum development teaching excellence student development mentoring collaboration communication diversity and inclusion,223500.0,223500.0,223500.0,0-0,0.0293,,1,1
assistant store keeper,,177000.0,177000.0,177000.0,177000-177000,0.0,aluva kerala,0,0
assistant supervisor,,220500.0,210000.0,226500.0,210000-226500,0.0,"greater noida uttar pradesh,kolkata west bengal,rajender nagar delhi delhi,remote",0,0
