education_level,degree_stream,skills,location,interests,risk_preference,years_experience,salary,demand_label,next_role_success,burnout_label
bachelors,engineering,"robotics,stem,trainer",india,"career,growth",medium,3,270000.0,stable,1,0
bachelors,data science,"html,developers,freshers",india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,computer science,"java,developers,freshers",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,"teachers,pre,primary,english,mathematics,evs,computers",global,"career,growth",medium,3,25000.0,stable,1,0
bachelors,engineering,"college,student",india,"career,growth",medium,3,17500.0,stable,0,0
bachelors,computer science,"software,testers,freshers",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,computer science,"web,developer,freshers",india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,"computer,operator,data,entry,freshers",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,"back,office",india,"career,growth",medium,3,18683.5,stable,0,0
bachelors,engineering,"customer,service",india,"career,growth",medium,3,19250.0,stable,0,0
bachelors,engineering,recruiter,india,"career,growth",medium,3,18500.0,stable,0,0
bachelors,engineering,"sales,advisor_,work,home",india,"career,growth",medium,3,17500.0,stable,0,0
bachelors,computer science,"python,developer",india,"career,growth",medium,3,45000.0,increasing,1,0
bachelors,engineering,"customer,support",india,"career,growth",medium,1,450000.0,stable,1,0
bachelors,engineering,"kyc,verification",india,"career,growth",medium,1,20000.0,stable,1,0
bachelors,engineering,general,india,"career,growth",medium,1,500000.0,stable,1,1
bachelors,engineering,"chat,support,representative,mohali",india,"career,growth",medium,3,32500.0,stable,1,0
bachelors,engineering,"iti,diploma,any,degree",india,"career,growth",medium,1,13500.0,stable,0,0
bachelors,computer science,python,india,"career,growth",medium,1,15250.0,increasing,0,0
bachelors,computer science,"software,engineer,freshers",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,programmer,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,quality,india,"career,growth",medium,3,315000.0,stable,1,0
bachelors,engineering,"data,entry,operator",india,"career,growth",medium,3,19250.0,increasing,0,1
bachelors,computer science,"mobile,app,developer,freshers",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,"mega,walk,drive,customer,service,representative",global,"career,growth",medium,1,15000.0,stable,0,1
bachelors,computer science,"python,developer",india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,data science,"data,scientist",india,"career,growth",medium,3,375000.0,increasing,1,1
bachelors,engineering,"digital,marketing,freshers",india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,receptionist,india,"career,growth",medium,3,19250.0,stable,0,1
bachelors,computer science,"web,developer",india,"career,growth",medium,1,19250.0,increasing,0,0
bachelors,engineering,"document,verification,office,applied,now",india,"career,growth",medium,1,16391.17,stable,0,1
bachelors,engineering,graduate,india,"career,growth",medium,1,19250.0,stable,0,0
bachelors,engineering,"internship,job,opening,freshers",india,"career,growth",medium,1,11500.0,stable,0,0
bachelors,engineering,"consultant,doctor",global,"career,growth",medium,3,22500.0,stable,1,1
bachelors,computer science,"software,trainees",india,"career,growth",medium,1,19250.0,increasing,0,1
bachelors,engineering,"digital,marketing",india,"career,growth",medium,3,12500.0,stable,0,0
bachelors,engineering,malayalam,india,"career,growth",medium,1,17436.37,stable,0,1
bachelors,engineering,"call,quality",india,"career,growth",medium,3,450000.0,stable,1,1
bachelors,engineering,marketing,global,"career,growth",medium,3,19250.0,stable,0,1
bachelors,computer science,"engineers,freshers",india,"career,growth",medium,1,19250.0,increasing,0,1
masters,business,"social,media",india,"career,growth",medium,3,19250.0,stable,0,0
